Calendar Date,Week End Date,YYYY Mm,Queue,Vendor Location Detail,Agent Name,CSR Completed In Service Level,CSR Completed Out Of Service Level,CSR Complete Total,CSR Escalation,CSR Redirect Total,EPH Count,EPH Time,EPH,MSG Age
9/4/2014,9/6/2014,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,jitender,1,0,1,0,0,1,247,15,186
9/4/2014,9/6/2014,2014-09,SMB-BusinessMail-Tech-FL,SMB - Agents,sunilrd,7,0,7,0,0,7,"2,260",11,"4,096"
9/4/2014,9/6/2014,2014-09,SMB-Domains-Tech-ET,SMB - Escalation Team,abduljab,1,1,2,0,0,2,"1,492",5,"3,001"
9/4/2014,9/6/2014,2014-09,SMB-Domains-Tech-FL,SMB - Agents,ancilava,1,0,1,0,0,1,115,31,637
9/4/2014,9/6/2014,2014-09,SMB-Domains-Tech-FL,SMB - Agents,arifha,10,0,10,0,0,10,"8,225",4,"6,471"
9/4/2014,9/6/2014,2014-09,SMB-Domains-Tech-FL,SMB - Agents,ashishk1,52,0,52,0,1,55,"27,919",7,"39,718"
9/4/2014,9/6/2014,2014-09,SMB-Domains-Tech-FL,SMB - Agents,deenavb,3,0,3,0,0,3,88,123,"1,096"
9/4/2014,9/6/2014,2014-09,SMB-Domains-Tech-FL,SMB - Agents,haritas,1,0,1,0,0,1,839,4,975
9/4/2014,9/6/2014,2014-09,SMB-Domains-Tech-FL,SMB - Agents,raghavsa,17,0,17,0,0,19,"17,725",3,"16,150"
9/4/2014,9/6/2014,2014-09,SMB-Domains-Tech-FL,SMB - Agents,sunilrd,3,1,4,0,0,4,"4,338",3,"4,805"
9/4/2014,9/6/2014,2014-09,SMB-Domains-Tech-FL,SMB - Agents,sushimd,6,0,6,1,0,6,"13,646",2,"2,869"
9/4/2014,9/6/2014,2014-09,SMB-LocalBasic-Tech-FL,SMB - Agents,shafath,0,3,3,0,0,3,899,12,"69,011"
9/4/2014,9/6/2014,2014-09,SMB-LocalEnhanced-Tech-FL,SMB - Agents,haritas,15,0,15,0,0,,,,"6,492"
9/4/2014,9/6/2014,2014-09,SMB-LocalEnhanced-Tech-FL,SMB - Agents,lohitv,9,0,9,0,0,,,,"3,807"
9/4/2014,9/6/2014,2014-09,SMB-LocalEnhanced-Tech-FL,SMB - Agents,shafath,1,0,1,0,0,,,,947
9/4/2014,9/6/2014,2014-09,SMB-LocalEnhanced-Tech-FL,SMB - Agents,sunilrd,4,0,4,0,0,,,,"1,707"
9/4/2014,9/6/2014,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,deenavb,1,0,1,0,0,1,272,13,518
9/4/2014,9/6/2014,2014-09,SMB-MerchantSolutions-Tech-FL,SMB - Agents,eshanan,2,0,2,0,0,2,"3,533",2,375
